"","state_name","pct_nda","pct_upa","pct_oth","party_ally"
"1","Andhra Pradesh",0.258620689655172,0.396551724137931,0.448275862068966,"NDA"
"2","Andhra Pradesh",0.258620689655172,0.396551724137931,0.448275862068966,"TRS"
"3","Andhra Pradesh",0.258620689655172,0.396551724137931,0.448275862068966,"UPA"
"4","Andhra Pradesh",0.258620689655172,0.396551724137931,0.448275862068966,"YSRCP"
"5","Bihar",0.2,0.1,0,"NDA"
"6","Bihar",0.2,0.1,0,"UPA"
"7","Chattisgarh",0.888888888888889,0.222222222222222,0,"NDA"
"8","Chattisgarh",0.888888888888889,0.222222222222222,0,"UPA"
"9","Jharkhand",0.306666666666667,0.333333333333333,0.426666666666667,"AJSUP"
"10","Jharkhand",0.306666666666667,0.333333333333333,0.426666666666667,"JBSP"
"11","Jharkhand",0.306666666666667,0.333333333333333,0.426666666666667,"JKP"
"12","Jharkhand",0.306666666666667,0.333333333333333,0.426666666666667,"JVM"
"13","Jharkhand",0.306666666666667,0.333333333333333,0.426666666666667,"NDA"
"14","Jharkhand",0.306666666666667,0.333333333333333,0.426666666666667,"UPA"
"15","Karnataka",0.375,0.625,0,"JD(S)"
"16","Karnataka",0.375,0.625,0,"NDA"
"17","Karnataka",0.375,0.625,0,"UPA"
"18","Madhya Pradesh",0.75,0.138888888888889,0,"NDA"
"19","Madhya Pradesh",0.75,0.138888888888889,0,"UPA"
"20","Maharashtra",0.356435643564356,0.425742574257426,0.0396039603960396,"AAAP"
"21","Maharashtra",0.356435643564356,0.425742574257426,0.0396039603960396,"BSP"
"22","Maharashtra",0.356435643564356,0.425742574257426,0.0396039603960396,"BVA"
"23","Maharashtra",0.356435643564356,0.425742574257426,0.0396039603960396,"NDA"
"24","Maharashtra",0.356435643564356,0.425742574257426,0.0396039603960396,"UPA"
"25","Orissa",0.171428571428571,0.0857142857142857,0.685714285714286,"BJD"
"26","Orissa",0.171428571428571,0.0857142857142857,0.685714285714286,"NDA"
"27","Orissa",0.171428571428571,0.0857142857142857,0.685714285714286,"UPA"
"28","Rajasthan",0.608695652173913,0.405797101449275,0.0144927536231884,"AAAP"
"29","Rajasthan",0.608695652173913,0.405797101449275,0.0144927536231884,"NDA"
"30","Rajasthan",0.608695652173913,0.405797101449275,0.0144927536231884,"UPA"
"31","Uttar Pradesh",0.363636363636364,0.25,0.363636363636364,"BSP"
"32","Uttar Pradesh",0.363636363636364,0.25,0.363636363636364,"NDA"
"33","Uttar Pradesh",0.363636363636364,0.25,0.363636363636364,"SP"
"34","Uttar Pradesh",0.363636363636364,0.25,0.363636363636364,"UPA"
