"","state_name","pc_name","ac_name","ac_num","total_ac_votes","num_spec1_2014","voteshare_spec1_2014","voteshare_spec1_2014_0.1","voteshare_spec1_2014_0.2","voteshare_spec1_2014_0.3","voteshare_spec1_2014_0.4","voteshare_spec1_2014_0.5","voteshare_spec1_2014_0.6","voteshare_spec1_2014_0.7","voteshare_spec1_2014_0.8","voteshare_spec1_2014_0.9","voteshare_spec1_2009","voteshare_spec1_2009_0.1","voteshare_spec1_2009_0.2","voteshare_spec1_2009_0.3","voteshare_spec1_2009_0.4","voteshare_spec1_2009_0.5","voteshare_spec1_2009_0.6","voteshare_spec1_2009_0.7","voteshare_spec1_2009_0.8","voteshare_spec1_2009_0.9","station_name1","station_type1","station_kw1","station_state1","spot_lang1","station_block1","treat1","camp_date1","station_buffer_km1","camp_lag1","station_id1","eligible1","station_name2","station_type2","station_kw2","station_state2","spot_lang2","station_block2","treat2","camp_date2","station_buffer_km2","camp_lag2","station_id2","eligible2","station_name3","station_type3","station_kw3","station_state3","spot_lang3","station_block3","treat3","camp_date3","station_buffer_km3","camp_lag3","station_id3","eligible3","state_code","pc_num","station_lon","station_lat","illit_pc","rural_pc","scst_pc","pc_type","schedule_num","poll_date","xcoord","ycoord","num_eligible","prob_treatany","treatany","wgt_treatany"
"1","Andhra Pradesh","Adilabad (ST)","Adilabad",7,142302,1,15.1473626512628,15.1473626512628,15.1473626512628,15.1473626512628,15.1473626512628,15.1473626512628,15.1473626512628,0,0,0,58.159939834545,58.159939834545,58.159939834545,58.159939834545,58.159939834545,58.159939834545,58.159939834545,0,0,0,"Chandrapur","FM",6,"Maharashtra","Marathi",1,1,2014-04-08,75,22,7,1,"Adilabad","MW",1,"Andhra Pradesh","Telugu",4,0,2014-04-28,25,2,51,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,1,0,0,47.5931015014648,100,27.0227947235107,"ST","7",2014-04-30,78.6619110107422,19.6772956848145,2,0.75,1,1.33333337306976
"2","Andhra Pradesh","Adilabad (ST)","Asifabad (ST)",5,146701,1,19.0878044457775,19.0878044457775,19.0878044457775,19.0878044457775,19.0878044457775,19.0878044457775,19.0878044457775,0,0,0,45.4189280868385,45.4189280868385,45.4189280868385,45.4189280868385,45.4189280868385,45.4189280868385,45.4189280868385,0,0,0,"Chandrapur","FM",6,"Maharashtra","Marathi",1,1,2014-04-08,75,22,7,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,1,0,0,57.2874641418457,100,56.1450347900391,"ST","7",2014-04-30,79.137939453125,19.3723430633545,1,0.5,1,2
"3","Andhra Pradesh","Adilabad (ST)","Boath (ST)",8,138017,1,18.5368469101632,18.5368469101632,18.5368469101632,18.5368469101632,18.5368469101632,18.5368469101632,18.5368469101632,0,0,0,60.7256798937693,60.7256798937693,60.7256798937693,60.7256798937693,60.7256798937693,60.7256798937693,60.7256798937693,0,0,0,"Adilabad","MW",1,"Andhra Pradesh","Telugu",4,0,2014-04-28,25,2,51,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,1,0,0,47.8087921142578,100,58.4414253234863,"ST","7",2014-04-30,78.4176025390625,19.484447479248,1,0.5,0,2
"4","Andhra Pradesh","Adilabad (ST)","Mudhole",10,163090,1,25.8550493592495,25.8550493592495,25.8550493592495,25.8550493592495,25.8550493592495,25.8550493592495,25.8550493592495,0,0,0,41.9172154416943,41.9172154416943,41.9172154416943,41.9172154416943,41.9172154416943,41.9172154416943,41.9172154416943,0,0,0,"Nanded","FM",6,"Maharashtra","Marathi",3,0,2014-04-22,75,8,48,1,"Nizamabad","FM",6,"Andhra Pradesh","Telugu",4,0,2014-04-28,75,2,60,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,1,0,0,45.1983413696289,44.3461532592773,16.4073944091797,"ST","7",2014-04-30,77.9883041381836,19.0876541137695,2,0.75,0,4
"5","Andhra Pradesh","Adilabad (ST)","Nirmal",9,160835,1,7.86582522460907,7.86582522460907,7.86582522460907,7.86582522460907,7.86582522460907,7.86582522460907,7.86582522460907,0,0,0,34.9242464596349,34.9242464596349,34.9242464596349,34.9242464596349,34.9242464596349,34.9242464596349,34.9242464596349,0,0,0,"Nizamabad","FM",6,"Andhra Pradesh","Telugu",4,0,2014-04-28,75,2,60,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,1,0,0,40.1010246276855,36.6389617919922,14.1169309616089,"ST","7",2014-04-30,78.3646697998047,19.1066818237305,1,0.5,0,2
"6","Andhra Pradesh","Anantapur","Anantapur urban",272,152943,2,95.9462021798971,95.9462021798971,95.9462021798971,95.9462021798971,95.9462021798971,46.0328357623428,46.0328357623428,46.0328357623428,46.0328357623428,46.0328357623428,29.2017300345485,29.2017300345485,29.2017300345485,29.2017300345485,29.2017300345485,0,0,0,0,0,"Anantpur","FM",6,"Andhra Pradesh","Telugu",4,0,2014-05-05,75,2,58,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,36,0,0,30.5396842956543,13.8051090240479,12.3345785140991,"GEN","8",2014-05-07,77.5768280029297,14.6955690383911,1,0.5,0,2
"7","Andhra Pradesh","Anantapur","Guntakal",269,164800,2,96.0139563106796,96.0139563106796,96.0139563106796,96.0139563106796,96.0139563106796,46.9593446601942,46.9593446601942,46.9593446601942,46.9593446601942,46.9593446601942,37.2529722351927,37.2529722351927,37.2529722351927,37.2529722351927,37.2529722351927,0,0,0,0,0,"Anantpur","FM",6,"Andhra Pradesh","Telugu",4,0,2014-05-05,75,2,58,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,36,0,0,40.084602355957,45.2585868835449,21.6409606933594,"GEN","8",2014-05-07,77.5370407104492,15.0848236083984,1,0.5,0,2
"8","Andhra Pradesh","Anantapur","KALYANDURG",273,167133,2,95.7991539671998,95.7991539671998,95.7991539671998,95.7991539671998,95.7991539671998,41.2785027493074,41.2785027493074,41.2785027493074,41.2785027493074,41.2785027493074,43.3860942270139,43.3860942270139,43.3860942270139,43.3860942270139,43.3860942270139,0,0,0,0,0,"Anantpur","FM",6,"Andhra Pradesh","Telugu",4,0,2014-05-05,75,2,58,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,36,0,0,42.1411018371582,64.0316390991211,19.0990104675293,"GEN","8",2014-05-07,77.1195907592773,14.4505434036255,1,0.5,0,2
"9","Andhra Pradesh","Anantapur","Rayadurg",267,192189,2,94.2983209236741,94.2983209236741,94.2983209236741,94.2983209236741,94.2983209236741,46.0728761791778,46.0728761791778,46.0728761791778,46.0728761791778,46.0728761791778,40.2336971192781,40.2336971192781,40.2336971192781,40.2336971192781,40.2336971192781,0,0,0,0,0,"Hospet","FM",10,"Karnataka","Kannada",2,0,2014-04-15,100,22,32,1,"Anantpur","FM",6,"Andhra Pradesh","Telugu",4,0,2014-05-05,75,2,58,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,36,0,0,51.267333984375,100,15.5080871582031,"GEN","8",2014-05-07,76.9525527954102,14.818528175354,2,0.75,0,4
"10","Andhra Pradesh","Anantapur","Singanamala (SC)",271,176864,2,95.4422607201013,95.4422607201013,95.4422607201013,95.4422607201013,95.4422607201013,45.8080785236114,45.8080785236114,45.8080785236114,45.8080785236114,45.8080785236114,41.3820125381771,41.3820125381771,41.3820125381771,41.3820125381771,41.3820125381771,0,0,0,0,0,"Anantpur","FM",6,"Andhra Pradesh","Telugu",4,0,2014-05-05,75,2,58,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,36,0,0,50.04638671875,100,20.5337162017822,"GEN","8",2014-05-07,77.7974853515625,14.7512865066528,1,0.5,0,2
