"","pct_nda.spec1","pct_upa.spec1","state_name","pc_name","ac_name","ac_num","total_ac_votes","pct_nda.spec3","pct_upa.spec3","pct_oth.spec3","num_spec3_2014","voteshare_spec3_2014","voteshare_spec3_2014_0.1","voteshare_spec3_2014_0.2","voteshare_spec3_2014_0.3","voteshare_spec3_2014_0.4","voteshare_spec3_2014_0.5","voteshare_spec3_2014_0.6","voteshare_spec3_2014_0.7","voteshare_spec3_2014_0.8","voteshare_spec3_2014_0.9","voteshare_spec3_2009","voteshare_spec3_2009_0.1","voteshare_spec3_2009_0.2","voteshare_spec3_2009_0.3","voteshare_spec3_2009_0.4","voteshare_spec3_2009_0.5","voteshare_spec3_2009_0.6","voteshare_spec3_2009_0.7","voteshare_spec3_2009_0.8","voteshare_spec3_2009_0.9","station_name1","station_type1","station_kw1","station_state1","spot_lang1","station_block1","treat1","camp_date1","station_buffer_km1","camp_lag1","station_id1","eligible1","station_name2","station_type2","station_kw2","station_state2","spot_lang2","station_block2","treat2","camp_date2","station_buffer_km2","camp_lag2","station_id2","eligible2","station_name3","station_type3","station_kw3","station_state3","spot_lang3","station_block3","treat3","camp_date3","station_buffer_km3","camp_lag3","station_id3","eligible3","state_code","pc_num","station_lon","station_lat","illit_pc","rural_pc","scst_pc","pc_type","schedule_num","poll_date","xcoord","ycoord","num_eligible","prob_treatany","treatany","wgt_treatany","num_eligible1","num_eligible2","num_eligible3"
"1",0.666666666666667,0,"Andhra Pradesh","Adilabad (ST)","Adilabad",7,142302,0.258620689655172,0.396551724137931,0.448275862068966,3,92.5608916248542,92.5608916248542,92.5608916248542,77.4135289735914,51.0695562957653,0,0,0,0,0,89.9966574747222,89.9966574747222,89.9966574747222,31.8367176401772,0,0,0,0,0,0,"Chandrapur","FM",6,"Maharashtra","Marathi",1,1,2014-04-08,75,22,7,1,"Adilabad","MW",1,"Andhra Pradesh","Telugu",4,0,2014-04-28,25,2,51,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,1,0,0,47.5931015014648,100,27.0227947235107,"ST","7",2014-04-30,78.6619110107422,19.6772956848145,2,0.75,1,1.33333337306976,0,1,0
"2",0.666666666666667,0,"Andhra Pradesh","Adilabad (ST)","Asifabad (ST)",5,146701,0.258620689655172,0.396551724137931,0.448275862068966,3,86.5447406629812,86.5447406629812,86.5447406629812,67.4569362172037,45.10398702122,0,0,0,0,0,81.6070217096337,81.6070217096337,81.6070217096337,36.1880936227951,0,0,0,0,0,0,"Chandrapur","FM",6,"Maharashtra","Marathi",1,1,2014-04-08,75,22,7,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,1,0,0,57.2874641418457,100,56.1450347900391,"ST","7",2014-04-30,79.137939453125,19.3723430633545,1,0.5,1,2,1,0,0
"3",0.666666666666667,0,"Andhra Pradesh","Adilabad (ST)","Boath (ST)",8,138017,0.258620689655172,0.396551724137931,0.448275862068966,3,90.8040313874378,90.8040313874378,90.8040313874378,72.2671844772745,48.4925770013839,0,0,0,0,0,89.5864590339214,89.5864590339214,89.5864590339214,28.8607791401521,0,0,0,0,0,0,"Adilabad","MW",1,"Andhra Pradesh","Telugu",4,0,2014-04-28,25,2,51,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,1,0,0,47.8087921142578,100,58.4414253234863,"ST","7",2014-04-30,78.4176025390625,19.484447479248,1,0.5,0,2,1,0,0
"4",0.666666666666667,0,"Andhra Pradesh","Adilabad (ST)","Mudhole",10,163090,0.258620689655172,0.396551724137931,0.448275862068966,3,92.028327917101,92.028327917101,92.028327917101,66.1732785578515,29.0428597706788,0,0,0,0,0,62.8725559242291,62.8725559242291,62.8725559242291,20.9553404825348,0,0,0,0,0,0,"Nanded","FM",6,"Maharashtra","Marathi",3,0,2014-04-22,75,8,48,1,"Nizamabad","FM",6,"Andhra Pradesh","Telugu",4,0,2014-04-28,75,2,60,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,1,0,0,45.1983413696289,44.3461532592773,16.4073944091797,"ST","7",2014-04-30,77.9883041381836,19.0876541137695,2,0.75,0,4,0,1,0
"5",0.666666666666667,0,"Andhra Pradesh","Adilabad (ST)","Nirmal",9,160835,0.258620689655172,0.396551724137931,0.448275862068966,3,70.0910871389934,70.0910871389934,70.0910871389934,62.2252619143843,36.4112288991824,0,0,0,0,0,65.658648687725,65.658648687725,65.658648687725,30.7344022280901,0,0,0,0,0,0,"Nizamabad","FM",6,"Andhra Pradesh","Telugu",4,0,2014-04-28,75,2,60,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,1,0,0,40.1010246276855,36.6389617919922,14.1169309616089,"ST","7",2014-04-30,78.3646697998047,19.1066818237305,1,0.5,0,2,1,0,0
"6",0.5,0,"Andhra Pradesh","Anantapur","Anantapur urban",272,152943,0.258620689655172,0.396551724137931,0.448275862068966,3,97.041381429683,97.041381429683,97.041381429683,47.1280150121287,46.0328357623428,0,0,0,0,0,72.4995866366144,72.4995866366144,72.4995866366144,43.2978566020659,0,0,0,0,0,0,"Anantpur","FM",6,"Andhra Pradesh","Telugu",4,0,2014-05-05,75,2,58,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,36,0,0,30.5396842956543,13.8051090240479,12.3345785140991,"GEN","8",2014-05-07,77.5768280029297,14.6955690383911,1,0.5,0,2,1,0,0
"7",0.5,0,"Andhra Pradesh","Anantapur","Guntakal",269,164800,0.258620689655172,0.396551724137931,0.448275862068966,3,97.1486650485437,97.1486650485437,97.1486650485437,48.0940533980583,46.9593446601942,0,0,0,0,0,81.2391796271686,81.2391796271686,81.2391796271686,43.9862073919759,0,0,0,0,0,0,"Anantpur","FM",6,"Andhra Pradesh","Telugu",4,0,2014-05-05,75,2,58,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,36,0,0,40.084602355957,45.2585868835449,21.6409606933594,"GEN","8",2014-05-07,77.5370407104492,15.0848236083984,1,0.5,0,2,1,0,0
"8",0.5,0,"Andhra Pradesh","Anantapur","KALYANDURG",273,167133,0.258620689655172,0.396551724137931,0.448275862068966,3,97.3386464671848,97.3386464671848,97.3386464671848,42.8179952492925,41.2785027493074,0,0,0,0,0,91.6258697983993,91.6258697983993,91.6258697983993,48.2397755713854,0,0,0,0,0,0,"Anantpur","FM",6,"Andhra Pradesh","Telugu",4,0,2014-05-05,75,2,58,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,36,0,0,42.1411018371582,64.0316390991211,19.0990104675293,"GEN","8",2014-05-07,77.1195907592773,14.4505434036255,1,0.5,0,2,1,0,0
"9",0.5,0,"Andhra Pradesh","Anantapur","Rayadurg",267,192189,0.258620689655172,0.396551724137931,0.448275862068966,3,96.2354765361181,96.2354765361181,96.2354765361181,48.0100317916218,46.0728761791778,0,0,0,0,0,88.6879282197627,88.6879282197627,88.6879282197627,48.4542311004846,0,0,0,0,0,0,"Hospet","FM",10,"Karnataka","Kannada",2,0,2014-04-15,100,22,32,1,"Anantpur","FM",6,"Andhra Pradesh","Telugu",4,0,2014-05-05,75,2,58,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,36,0,0,51.267333984375,100,15.5080871582031,"GEN","8",2014-05-07,76.9525527954102,14.818528175354,2,0.75,0,4,0,1,0
"10",0.5,0,"Andhra Pradesh","Anantapur","Singanamala (SC)",271,176864,0.258620689655172,0.396551724137931,0.448275862068966,3,97.0632802605392,97.0632802605392,97.0632802605392,47.4290980640492,45.8080785236114,0,0,0,0,0,87.1952526389112,87.1952526389112,87.1952526389112,45.8132401007341,0,0,0,0,0,0,"Anantpur","FM",6,"Andhra Pradesh","Telugu",4,0,2014-05-05,75,2,58,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,36,0,0,50.04638671875,100,20.5337162017822,"GEN","8",2014-05-07,77.7974853515625,14.7512865066528,1,0.5,0,2,1,0,0
