"","state_name","pc_name","ac_name","ac_num","total_ac_votes","num_spec2_2014","voteshare_spec2_2014","voteshare_spec2_2014_0.1","voteshare_spec2_2014_0.2","voteshare_spec2_2014_0.3","voteshare_spec2_2014_0.4","voteshare_spec2_2014_0.5","voteshare_spec2_2014_0.6","voteshare_spec2_2014_0.7","voteshare_spec2_2014_0.8","voteshare_spec2_2014_0.9","voteshare_spec2_2009","voteshare_spec2_2009_0.1","voteshare_spec2_2009_0.2","voteshare_spec2_2009_0.3","voteshare_spec2_2009_0.4","voteshare_spec2_2009_0.5","voteshare_spec2_2009_0.6","voteshare_spec2_2009_0.7","voteshare_spec2_2009_0.8","voteshare_spec2_2009_0.9","station_name2","station_type2","station_kw2","station_state2","spot_lang2","station_block2","treat2","camp_date2","station_buffer_km2","camp_lag2","station_id2","eligible2","station_name3","station_type3","station_kw3","station_state3","spot_lang3","station_block3","treat3","camp_date3","station_buffer_km3","camp_lag3","station_id3","eligible3","state_code","pc_num","station_lon","station_lat","illit_pc","rural_pc","scst_pc","pc_type","schedule_num","poll_date","xcoord","ycoord","num_eligible","prob_treatany","treatany","wgt_treatany","num_eligible1","num_eligible2","num_eligible3"
"56","Andhra Pradesh","Mahbubnagar","Devarkadra",76,148779,4,93.7356750616686,93.7356750616686,93.7356750616686,71.7769308840629,38.3259734236687,0,0,0,0,0,78.9148448768347,78.9148448768347,78.9148448768347,76.4218445091773,42.3718148137674,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,11,0,0,53.8967323303223,100,26.0104713439941,"GEN","7",2014-04-30,77.9006195068359,16.5241031646729,1,0.5,0,2,1,0,0
"57","Andhra Pradesh","Mahbubnagar","Makthal",77,140977,4,93.5571050596906,93.5571050596906,93.5571050596906,65.1219702504664,27.3143846159303,0,0,0,0,0,84.2030490971862,84.2030490971862,84.2030490971862,75.1435947572638,34.623903944273,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,11,0,0,55.3270950317383,100,16.4130611419678,"GEN","7",2014-04-30,77.5723342895508,16.4722957611084,1,0.5,0,2,1,0,0
"58","Andhra Pradesh","Mahbubnagar","Narayanpet",73,135882,4,91.5757789847073,91.5757789847073,91.5757789847073,58.6987238927893,30.2321131570039,0,0,0,0,0,84.917712049718,84.917712049718,84.917712049718,64.2429672985548,33.999473883235,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,11,0,0,50.8248329162598,57.3253746032715,19.907398223877,"GEN","7",2014-04-30,77.6514892578125,16.7339515686035,1,0.5,0,2,1,0,0
"59","Andhra Pradesh","Medak","Gajwel",42,196197,5,93.9300804803335,93.9300804803335,93.9300804803335,69.0188942746321,51.9309673440471,0,0,0,0,0,78.7702654425649,78.7702654425649,78.7702654425649,76.1215104311386,32.6798868140654,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,6,0,0,43.0666275024414,67.6938781738281,19.3828945159912,"GEN","7",2014-04-30,78.6994094848633,17.835578918457,1,0.5,0,2,1,0,0
"60","Andhra Pradesh","Medak","Medak",34,158000,5,93.596835443038,93.596835443038,93.596835443038,83.4993670886076,58.4772151898734,0,0,0,0,0,75.6656169481821,75.6656169481821,75.6656169481821,71.005133189968,38.3844100160454,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,6,0,0,45.2260437011719,59.2974281311035,22.101634979248,"GEN","7",2014-04-30,78.3103713989258,18.0637550354004,1,0.5,0,2,1,0,0
"61","Andhra Pradesh","Medak","Siddipet",33,150167,5,93.3460747034968,93.3460747034968,93.3460747034968,79.4328980401819,71.3698748726418,0,0,0,0,0,84.8,84.8,84.8,81.7030534351145,64.6740458015267,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,6,0,0,34.9656982421875,34.0049057006836,13.949143409729,"GEN","7",2014-04-30,78.8690567016602,18.1334342956543,1,0.5,0,2,1,0,0
"62","Andhra Pradesh","Nagarkurnool (SC)","Alampur (SC)",80,158608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,12,0,0,54.2630844116211,100,25.7340335845947,"SC","7",2014-04-30,77.8714981079102,15.9825782775879,1,0.5,0,2,1,0,0
"63","Andhra Pradesh","Nagarkurnool (SC)","Gadwal",79,170648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,12,0,0,66.7328872680664,100,22.8918037414551,"SC","7",2014-04-30,77.6671447753906,16.1816139221191,1,0.5,0,2,1,0,0
"64","Andhra Pradesh","Nalgonda","Kodad",90,179918,4,95.0460765459821,95.0460765459821,95.0460765459821,58.8996098222524,12.5729498993986,0,0,0,0,0,44.915513652504,44.915513652504,44.915513652504,43.3372107260928,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,13,0,0,42.0617752075195,100,30.7207317352295,"GEN","7",2014-04-30,79.8822174072266,17.0865325927734,1,0.5,0,2,1,0,0
"65","Andhra Pradesh","Nalgonda","Nalgonda",92,163915,4,80.1244547478876,80.1244547478876,80.1244547478876,65.1276576274288,24.6560717445017,0,0,0,0,0,51.7872395673179,51.7872395673179,51.7872395673179,47.1406216901389,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,13,0,0,28.361499786377,22.8628406524658,18.2443885803223,"GEN","7",2014-04-30,79.2928924560547,17.0358371734619,1,0.5,0,2,1,0,0
"66","Andhra Pradesh","Nalgonda","Suryapet",91,170475,4,78.7528963191084,78.7528963191084,78.7528963191084,55.1130664320282,28.7625751576477,0,0,0,0,0,44.7438903026296,44.7438903026296,44.7438903026296,43.2384234676498,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,13,0,0,47.8331756591797,100,54.104736328125,"GEN","7",2014-04-30,79.6617050170898,17.1714153289795,1,0.5,0,2,1,0,0
"67","Andhra Pradesh","Nandyal","Banaganapalle",259,178564,2,96.1167984588159,96.1167984588159,96.1167984588159,45.8166259716404,45.8166259716404,0,0,0,0,0,25.8680857881209,25.8680857881209,25.8680857881209,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,34,0,0,49.0684204101562,86.890510559082,25.1129779815674,"GEN","8",2014-05-07,78.1615982055664,15.2191038131714,1,0.5,1,2,1,0,0
"68","Andhra Pradesh","Nandyal","Dhone",260,167017,2,93.0384332133855,93.0384332133855,93.0384332133855,50.4559416107342,50.4559416107342,0,0,0,0,0,42.263858268282,42.263858268282,42.263858268282,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,34,0,0,44.5921211242676,50.701976776123,16.3658599853516,"GEN","8",2014-05-07,77.8948669433594,15.3452281951904,1,0.5,1,2,1,0,0
"69","Andhra Pradesh","Nandyal","Nandikotkur (SC)",255,159359,2,95.9594374964702,95.9594374964702,95.9594374964702,56.014407720932,56.014407720932,0,0,0,0,0,40.1964893337406,40.1964893337406,40.1964893337406,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,34,0,0,47.0503921508789,100,31.3014392852783,"GEN","8",2014-05-07,78.3869705200195,15.875883102417,1,0.5,1,2,1,0,0
"70","Andhra Pradesh","Nandyal","Nandyal",258,173258,2,95.7069803414561,95.7069803414561,95.7069803414561,52.6094033175957,52.6094033175957,0,0,0,0,0,24.765273622904,24.765273622904,24.765273622904,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,34,0,0,34.3749084472656,21.5110931396484,15.6210088729858,"GEN","8",2014-05-07,78.4359436035156,15.4291725158691,1,0.5,1,2,1,0,0
"71","Andhra Pradesh","Nandyal","Panyam",257,201327,2,89.6466941840886,89.6466941840886,89.6466941840886,52.5016515420187,52.5016515420187,0,0,0,0,0,34.7037213066321,34.7037213066321,34.7037213066321,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,34,0,0,45.0639152526855,100,22.7407302856445,"GEN","8",2014-05-07,78.1892471313477,15.624623298645,1,0.5,1,2,1,0,0
"72","Andhra Pradesh","Nandyal","Srisailam",254,148148,2,96.9186219186219,96.9186219186219,96.9186219186219,51.1961011961012,51.1961011961012,0,0,0,0,0,37.1855597793615,37.1855597793615,37.1855597793615,0,0,0,0,0,0,0,"Kurnool","FM",6,"Andhra Pradesh","Telugu",4,1,2014-05-05,75,2,53,1,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,34,0,0,43.0470237731934,100,21.2246608734131,"GEN","8",2014-05-07,78.6741104125977,15.7343034744263,2,0.75,1,1.33333337306976,0,1,0
"73","Andhra Pradesh","Narasaraopet","Vinukonda",218,197819,2,94.3337090977105,94.3337090977105,94.3337090977105,42.2173805347312,42.2173805347312,0,0,0,0,0,50.0613078231096,50.0613078231096,50.0613078231096,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,31,0,0,53.8960494995117,100,27.9723415374756,"GEN","8",2014-05-07,79.7143020629883,16.1227436065674,1,0.5,1,2,1,0,0
"74","Andhra Pradesh","Nizamabad","Armur",11,133984,4,92.9655779794602,92.9655779794602,92.9655779794602,74.3887329830428,41.9259016001911,0,0,0,0,0,72.204146677512,72.204146677512,72.204146677512,57.9779552132269,24.5165252900848,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,4,0,0,39.0230102539062,47.5165405273438,18.2953929901123,"GEN","7",2014-04-30,78.2008361816406,18.8550834655762,1,0.5,0,2,1,0,0
"75","Andhra Pradesh","Nizamabad","Balkonda",19,145311,4,90.9800359229515,90.9800359229515,90.9800359229515,71.232047126508,51.4930046589728,0,0,0,0,0,57.5078027465668,57.5078027465668,57.5078027465668,50.3035268414482,20.2777777777778,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,4,0,0,46.4979591369629,100,20.0576992034912,"GEN","7",2014-04-30,78.466178894043,18.7887172698975,1,0.5,0,2,1,0,0
"76","Andhra Pradesh","Nizamabad","Bodhan",12,151404,4,93.682465456659,93.682465456659,93.682465456659,70.6916594013368,42.7412749993395,0,0,0,0,0,72.6632075614826,72.6632075614826,72.6632075614826,62.1197639312427,27.3147937432676,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,4,0,0,47.0730438232422,100,16.8081283569336,"GEN","7",2014-04-30,77.9402084350586,18.7443351745605,1,0.5,0,2,1,0,0
"77","Andhra Pradesh","Nizamabad","Koratla",20,149867,4,79.289636811306,79.289636811306,79.289636811306,54.4702969966704,40.4565381304757,0,0,0,0,0,74.5009208389348,74.5009208389348,74.5009208389348,59.5864384125825,32.4857988763434,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,4,0,0,39.3877182006836,41.2840843200684,17.6902141571045,"GEN","7",2014-04-30,78.6535720825195,18.8801593780518,1,0.5,0,2,1,0,0
"78","Andhra Pradesh","Nizamabad","Nizamabad (Rural)",18,165093,4,92.2340741279158,92.2340741279158,92.2340741279158,72.5391143173847,45.8680864724731,0,0,0,0,0,73.5650741131995,73.5650741131995,73.5650741131995,67.3915209981862,33.7492442513271,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,4,0,0,49.839427947998,100,28.0810775756836,"GEN","7",2014-04-30,78.2858200073242,18.5985717773438,1,0.5,0,2,1,0,0
"79","Andhra Pradesh","Nizamabad","Nizamabad (Urban)",17,133219,4,94.3559101929905,94.3559101929905,94.3559101929905,68.785233337587,39.134808097944,0,0,0,0,0,80.4191010524984,80.4191010524984,80.4191010524984,46.2687983801228,10.605133829702,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,4,0,0,34.7573318481445,24.5692119598389,12.9236364364624,"GEN","7",2014-04-30,78.0712509155273,18.6455154418945,1,0.5,0,2,1,0,0
"80","Andhra Pradesh","Ongole","Darsi",222,180894,2,96.6704257742103,96.6704257742103,96.6704257742103,48.0518977964996,48.0518977964996,0,0,0,0,0,35.2142001978033,35.2142001978033,35.2142001978033,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,33,0,0,49.6574478149414,100,25.4330921173096,"GEN","8",2014-05-07,79.6542053222656,15.8037748336792,1,0.5,1,2,1,0,0
"81","Andhra Pradesh","Ongole","Giddalur",231,179978,2,95.7183655780151,95.7183655780151,95.7183655780151,51.2768227227772,51.2768227227772,0,0,0,0,0,21.7121477971749,21.7121477971749,21.7121477971749,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,33,0,0,42.3204116821289,100,17.3546180725098,"GEN","8",2014-05-07,78.9719543457031,15.4727811813354,1,0.5,1,2,1,0,0
"82","Andhra Pradesh","Ongole","Kanigiri",232,157621,2,95.886969375908,95.886969375908,95.886969375908,46.3104535563155,46.3104535563155,0,0,0,0,0,43.2613997147196,43.2613997147196,43.2613997147196,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,33,0,0,42.1722564697266,59.5310707092285,23.3945446014404,"GEN","8",2014-05-07,79.403678894043,15.2872409820557,1,0.5,1,2,1,0,0
"83","Andhra Pradesh","Ongole","Kondapi (SC)",229,182165,2,97.2953091977054,97.2953091977054,97.2953091977054,47.2291603765817,47.2291603765817,0,0,0,0,0,44.1782755108,44.1782755108,44.1782755108,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,33,0,0,44.9702339172363,100,33.4503784179688,"GEN","8",2014-05-07,79.8343353271484,15.3925504684448,1,0.5,1,2,1,0,0
"84","Andhra Pradesh","Ongole","Markapuram",230,161022,2,95.878202978475,95.878202978475,95.878202978475,50.5191837140267,50.5191837140267,0,0,0,0,0,48.9245413589052,48.9245413589052,48.9245413589052,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,33,0,0,56.1196937561035,100,30.9100875854492,"GEN","8",2014-05-07,79.4252243041992,15.6481456756592,1,0.5,1,2,1,0,0
"85","Andhra Pradesh","Ongole","Yerragondapalem (SC)",221,157209,2,95.969696391428,95.969696391428,95.969696391428,54.1463911099237,54.1463911099237,0,0,0,0,0,41.1881663552945,41.1881663552945,41.1881663552945,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,33,0,0,51.9426193237305,100,34.764217376709,"GEN","8",2014-05-07,79.1969680786133,16.0072555541992,1,0.5,1,2,1,0,0
"86","Andhra Pradesh","Peddapalle (SC)","Manthani",24,169862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,2,0,0,46.9064712524414,100,44.1530952453613,"SC","7",2014-04-30,79.9011611938477,18.6069793701172,1,0.5,0,2,1,0,0
"87","Andhra Pradesh","Peddapalle (SC)","Peddapalle",25,167368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,2,0,0,40.3670806884766,59.547435760498,15.8504953384399,"SC","7",2014-04-30,79.3948440551758,18.5395545959473,1,0.5,0,2,1,0,0
"88","Andhra Pradesh","Peddapalle (SC)","Ramagundam",23,137580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,2,0,0,33.5408821105957,11.5874547958374,23.6972141265869,"SC","7",2014-04-30,79.4147567749023,18.7630558013916,1,0.5,0,2,1,0,0
"89","Andhra Pradesh","Rajampet","Kodur (SC)",246,136553,2,93.4223341852614,93.4223341852614,93.4223341852614,50.1504910181395,50.1504910181395,0,0,0,0,0,33.4228451105257,33.4228451105257,33.4228451105257,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,41,0,0,44.7207870483398,90.286247253418,26.2430782318115,"GEN","8",2014-05-07,79.2544326782227,14.0300855636597,1,0.5,0,2,1,0,0
"90","Andhra Pradesh","Rajampet","Madanapalle",283,167717,2,90.2275857545747,90.2275857545747,90.2275857545747,48.6969120601966,48.6969120601966,0,0,0,0,0,30.8670343137255,30.8670343137255,30.8670343137255,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,41,0,0,32.4313201904297,22.7298851013184,12.3800296783447,"GEN","8",2014-05-07,78.5206604003906,13.492805480957,1,0.5,0,2,1,0,0
"91","Andhra Pradesh","Rajampet","Pileru",282,168295,2,68.4322172375888,68.4322172375888,68.4322172375888,45.2402032145934,45.2402032145934,0,0,0,0,0,29.5231743914638,29.5231743914638,29.5231743914638,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,41,0,0,39.9536209106445,100,14.4575099945068,"GEN","8",2014-05-07,78.7841949462891,13.7422904968262,1,0.5,0,2,1,0,0
"92","Andhra Pradesh","Rajampet","Punganur",284,184132,2,93.2162796254861,93.2162796254861,93.2162796254861,59.1016227488975,59.1016227488975,0,0,0,0,0,27.7281012907676,27.7281012907676,27.7281012907676,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,41,0,0,41.3641777038574,100,16.1941738128662,"GEN","8",2014-05-07,78.8154983520508,13.4752187728882,1,0.5,0,2,1,0,0
"93","Andhra Pradesh","Rajampet","Rajampet",244,163962,2,92.9251899830448,92.9251899830448,92.9251899830448,49.099791415084,49.099791415084,0,0,0,0,0,36.1390494891095,36.1390494891095,36.1390494891095,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,41,0,0,37.7853317260742,47.9643020629883,19.2806453704834,"GEN","8",2014-05-07,79.0127410888672,14.2298631668091,1,0.5,0,2,1,0,0
"94","Andhra Pradesh","Rajampet","Rayachoti",247,170516,2,91.5960965539891,91.5960965539891,91.5960965539891,60.4699852213282,60.4699852213282,0,0,0,0,0,42.8180063946364,42.8180063946364,42.8180063946364,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,41,0,0,38.6761932373047,21.0861797332764,8.33219623565674,"GEN","8",2014-05-07,78.6963653564453,14.0814247131348,1,0.5,0,2,1,0,0
"95","Andhra Pradesh","Srikakulam","Ichchapuram",120,159592,2,91.8072334452855,91.8072334452855,91.8072334452855,37.0970975988771,37.0970975988771,0,0,0,0,0,35.8258616374424,35.8258616374424,35.8258616374424,0,0,0,0,0,0,0,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,"","",NA,"","",NA,NA,NA,NA,NA,-9,NA,28,19,0,0,42.462158203125,100,16.7439270019531,"GEN","8",2014-05-07,84.6059875488281,18.9993190765381,1,0.5,0,2,1,0,0
